source,current_name,proposed_name,name_decision,name_rationale,module,kind,parameter,current_default,default_decision,default_rationale,migration_note
pyo3,cat_select_item,cat_select_item,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""auto""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,chi2_sf,chi2_sf,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,circle_arc_equate,circle_arc_equate,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,circle_arc_middle_anchor,circle_arc_middle_anchor,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,circular_triads,circular_triads,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,alternative,"""two.sided""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,circular_triads,circular_triads,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,correct,true,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cluster_moment_covariance_stat,cluster_moment_covariance_stat,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,composite_linking,composite_linking,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,p,1.0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,composite_linking,composite_linking,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,slopes,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cronbach_alpha,cronbach_alpha,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,detect_analysis,detect_analysis,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,dimensionality_residuals,dimensionality_residuals,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,eapsum_tables,eapsum_tables,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""auto""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,eapsum_tables,eapsum_tables,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,eapsum_tables,eapsum_tables,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_xi,11,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_xi=11 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,eapsum_tables,eapsum_tables,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_points,256,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep xi_points=256 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,eapsum_tables,eapsum_tables,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_rule,"""gh""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,eapsum_tables,eapsum_tables,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_seed,0,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep xi_seed=0 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,elo_rating,elo_rating,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,elom_rating,elom_rating,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,empirical_reliability,empirical_reliability,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,equate_neat,equate_neat,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,method,"""chained""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,equate_neat,equate_neat,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,w1,0.5,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,equate_neat_linear,equate_neat_linear,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,anchor_kind,"""internal""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,equate_neat_linear,equate_neat_linear,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,method,"""tucker""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,equate_neat_linear,equate_neat_linear,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,w1,0.5,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,equate_observed_scores,equate_observed_scores,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,method,"""equipercentile""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,equate_observed_scores_ext,equate_observed_scores_ext,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,bandwidth_x,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,equate_observed_scores_ext,equate_observed_scores_ext,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,bandwidth_y,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,equate_observed_scores_ext,equate_observed_scores_ext,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,continuization,"""uniform""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,equate_observed_scores_ext,equate_observed_scores_ext,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,smooth_degree_x,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,equate_observed_scores_ext,equate_observed_scores_ext,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,smooth_degree_y,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,factorized_multilevel_moments_stat,factorized_multilevel_moments_stat,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,factorized_trait_moments_stat,factorized_trait_moments_stat,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,feldt_alpha_ci,feldt_alpha_ci,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,fide_rating,fide_rating,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,finite_population_achieved_proportion,finite_population_achieved_proportion,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,finite_population_proportion_design,finite_population_proportion_design,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,finn_coefficient,finn_coefficient,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,fit_2pl,fit_2pl,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,estimate_corr,false,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,fit_2pl,fit_2pl,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,max_iter,500,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep max_iter=500 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,fit_2pl,fit_2pl,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,node_rule,"""gh""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,fit_2pl,fit_2pl,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q,21,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,fit_2pl,fit_2pl,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,tol,1e-6,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep tol=1e-6 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,fit_2pl,fit_2pl,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_points,4000,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep xi_points=4000 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,fit_2pl,fit_2pl,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_seed,0x9E37_79B9_7F4A_7C15,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep xi_seed=0x9E37_79B9_7F4A_7C15 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,fit_bifactor_grm,fit_bifactor_grm,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""cpu""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
